order_id,order_date,cost,client
ORD-A000,2024-01-01,572,c01
ORD-A001,2024-01-02,700,c01
ORD-A002,2024-01-03,496,c01
ORD-A003,2024-01-04,414,c01
ORD-A004,2024-01-05,805,c01
ORD-A005,2024-01-06,586,c01
ORD-A006,2024-01-07,651,c01
ORD-A007,2024-01-08,187,c01
ORD-A008,2024-01-09,274,c01
ORD-A009,2024-01-10,700,c01
ORD-B000,2024-02-01,531,c02
ORD-B001,2024-02-02,548,c02
ORD-B002,2024-02-03,950,c02
ORD-B003,2024-02-04,199,c02
ORD-B004,2024-02-05,277,c02
ORD-B005,2024-02-06,855,c02
ORD-B006,2024-02-07,897,c02
ORD-B007,2024-02-08,759,c02
ORD-B008,2024-02-09,247,c02
ORD-B009,2024-02-10,523,c02
ORD-C000,2024-01-01,572,c03
ORD-C001,2024-01-02,700,c03
ORD-C002,2024-01-03,496,c03
ORD-C003,2024-01-04,414,c03
ORD-C004,2024-01-05,805,c03
ORD-C005,2024-01-06,586,c03
ORD-C006,2024-01-07,651,c03
ORD-C007,2024-01-08,187,c03
ORD-C008,2024-01-09,274,c03
ORD-C009,2024-01-10,700,c03
